Jednjak i želudac,spasmus oesophagi,"#RM 22, VF 20, VF 21, #RM 14"
,stenosis,"#LP 17, #VU 17, VU 18, VU 19, VU 20, #Pc 6, #G 36"
,gastralgia,"#VU 18, #H 3, #VU 21, #LP 3, G 45, VF 41, #RM 21, #RM 22"
,gastritis acuta,"#VU 21, #RM 10, #RM 12, RM 13, RM 14, G 21, #Pc 6, #G 36, LP 9"
,gastritis chronica,"#G 21, RM 10, RM 12, RM 13, #G 36"
,ulcus duodeni et ventriculi,"C 5, C 7, TR 10, #LP 4"
,dyspepsia,"#LP 4, VU 21, #G 45, #LP 9, #G 36"
,aerogastria,"#VU 21, VU 20, RM 13, H 3, H 2, LP 3, LP 4, G 36, G 41"
,anorexia,"G 42, VU 20, LP 4, C 7, #G 36"
,singultus,"#Pc 6, VU 17, #G 36, H 13, VF 20, #RM 22, RM 17, RM 16, RM 12"
,indigestia,"#LP 4, VU 21, #G 36, G 45, IC 10, #RM 12"
,vomitus digestivus,"#LP 4, #VU 21, #G 25, G 21, G 42, RM 17, RM 13, RM 6, P 5, #Pc 6, H 13"
Crijeva,enterocolitis acuta (proljev),"#G 25, LP 14, LP 15, #R 14, R 15, H 4, H 5, H 6, H 9, H 10, #VU 25, #VU 27, #G 36, G 38, VF 34"
,enterocolitis chronica spastica,"G 35, G 37, LP 6, R 6, TR 6, #LP 9, #LP 18"
,enterocolitis ulcerosa,"#G 36, #Pc 6, #G 21, #LP 6, #LP 4, #RM 12, #H 3"
,colica intestinalis,"#LP 9, #H 3, VF 41, R 6, Pc 6, G 25, R 14, #RM 6, VU 25, VU 27"
,appendicitis acuta,"#PE 33, G 36, LP 14, G 25"
,obstipatio atonica,"#IC 4, #IC 10, #IC 11, G 36, LP 9, R 8, #VF 34, #VF 44, H 8"
,obstipatio spastica,"#VF 34, #IC 3, #IC 2, H 3, H 2, #Pc 6, TR 5, R 6, #G 25"
Jetra i žućni mjehur,hepatitis,"#VU 18, H 14, VU 19, VF 24, VU 20, H 13, VU 21, RM 12"
,icterus,"DM 9, PE 35"
,dysfunctio hepatobiliaris,"#LP 4, #VU 18, #VU 19, H 14, IC 11, G 36, #H 3, #H 8, RM 12, LP 4, LP 6"
,colica hepatica,"#LP 4, #VU 19, VU 18, #VF 34, #VF 38, RM 12, RM 13, RM 14, RM 15"
,cholecystitis,"#VF 41, #VF 38, VF 34, VF 14, #VU 19, H 3, RM 14, RM 15, G 45, VF 40, VF 43"
,cholelithiasis,"#VU 19, #VF 38, VF 33, G 31"
Gusterača,dysfunctio pancreatis,"#LP 4, #VU 20, RM 12, G 36, LP 2, LP 3, LP 5"
Bubrezi mokraćovodi,pyelonephritis,"#VF 25, #RM 5, #RM 6, #VU 23, #LP 6, #LP 9, R 3"
