Koža,za sve kutane afekcije,"#IC 4, #IC 11, #VU 40, #R 24 (lijevo)"
,eccema,"P 7, R 6, R 24, IC 4, IC 11, VU 13, VU 40, IC 3, TR 6, PC 7, G 36, VF 38, H 2, LP 6"
,purigo,"TR 5, VF 38, VF 39, VF 41, VF 43, VU 13, VU 40, R 2, H 2, H 5, IC 11, IC 4, G 13, RM 2"
,pruritus auriculae,VF 41
,pruritus vulvae,"C 8, C 9, H 2, H 8, Pc 5, Pc 6, R 2, R 6, R 7, R 10, RM 7"
,pruritus analis,"C 9, H 2"
,acne,"TR 5, #VF 41, VU 40, VU 61, VU 65, #H 8, IC 1, IC 4, IC 6, LP 41, RM 12"
,furunculosis,"VU 12, VU 15, VU 17, VU 21, IT 17, Pc 3, Pc 7, VF 15, VF 16, IC 4, IC 11, IC 20, LP 2"
,herpes simplex,"R 2, G 15"
,herpes zoster ac.,"LP 1, LP 2, LP 6, P 9, P 7, G 44, VF 43, VU 66, #R 7, #H 5, #C 5 na suprotnoj strani tijela VU 67, R 1"
,neuralgia postherpetica,"R 1, R 2, RM 12, TR 5, G 9, G 15"
,herpes chronica,"IT 17, VU 10, VU 1, VU 66, IC 4"
,eruptio faciei,"IC 1, IC 4, IC 11, P 5"
,impetigo,"H 3, G 41, G 42"
,urticaria,"IT 5, VU 13, VU 40, VF 40, VF 43, H 3, H 5, H 8, IC 1, IC 4, IC 11, G 11, G 13, G 15, G 36, LP 6"
,lichen,"G 36, G 40, G 42, VU 13, VU 40, VU 64, LP 6, H 5, H 8, IC 4, IT 7, Pc 7, RM 11, RM 19"
,alopecia,"IT 7, VU 40 i mnogo lok. uboda ('čekić')"
,m. Dupuytren,"IC 4, 10, 15, Pc 3, 5, 8, 9, P 5"
