Mokraćni mjehur,nephrocolica,"#R 3, #R 2, VU 60, VU 39, VU 53, #VU 23, G 36, #RM 5, RM 4, RM 3"
,nephrolithiasis,"VF 25, #R 3, #R 6, RM 5, RM 6, VU 39, VU 53"
,cystitis,"#RM 3, RM 4, RM 5, RM 6, #VU 28, R 6, #R 2, PC 6, #LP 9, #VU 32, #H 8"
,uretritis,"R 6, R 3, R 2, VU 23, LP 9, RM 3, RM 4"
,retentio urinae,"#RM 3, #RM 4, #LP 6, VU 23, #VU 28, VF 34, LP 9, VU 32"
,incontinentia urinae,"#RM 4, LP 6, VU 23, #VU 28, G 36"
,polakisuria,"P 5, VU 22, H 1, RM 4"
,anuria,"#R 3, R 18, VU 30, VU 66"
,enuresis,"#C 7, RM 3, #RM 4, RM 6, #LP 6, G 36, #VU 23, #VU 28, VU 32, VU 33, DM 4"
Muški spolni organi,prostatitis,"#R 6, #LP 10, #VU 40, #LP 6, RM 4, #RM 3"
,orchitis,"#G 29, G 30, R 15, VF 28, VF 29, #VU 31, VU 32, VU 33, #VU 62, #LP 6, LP 19, #RM 3, #RM 4, #RM 6"
,impotentia,"#G 29, #G 30, #G 36, #LP 6, LP 10, #DM 4, DM 14, H 8, #VU 23, RM 4, #RM 6"
,azoospermia,"G 29, #VU 23, #VU 24, VU 31, VU 32, VU 33, #RM 3, RM 4, RM 5, #RM 6, RM 7, RM R, RM 2, #LP 6"
Ženski spolni organi,dysmenorrhea,"G 28, G 29, #VU 23, #VU 26, #LP 6, RM 2, #RM 3, RM 4, RM 5, RM 6, VU 60, #VU 62, VF 41"
,hypermenorrhea,"#LP 6, #LP 10, #LP 15, VF 41, RM 3, RM 4, RM 5"
,oligomenorrhea,"#LP 6, #IC 4, #G 29, #G 30, #G 36"
,amenorrhea metrorrhagia,"LP 10, TR 3, H 13, H 14, R 12, R 13, RM 3, RM 4, RM 6, PC 9, #RM 2, #RM 3, RM 4, RM 5, #RM 6, RM 7, #VF 41, #LP 6, LP 10"
,leucorrhea,"G 25, #RM 6, #LP 6, VF 26, VF 34, #G 36, #VU 32"
,vaginitis,"G 25, R 12, #RM 4, #G 29, VU 31, VU 32, VU 33, VU 34, VU 60, #LP 6, #VF 41, H 8"
,pruritus,"#G 30, RM 3, RM 4, RM 6, VU 31, VU 32, VU 33, VU 34, #VU 35, DM 1, C 8, #LP 6, #VU 60, R 2, 10, #VF 41, H 8, H 11"
,metritis,"R 15, VF 26, VF 27, VF 28, VF 29, RM 3, RM 4, RM 6, VU 23, VU 28, VU 31, VU 32, VU 33, VU 34, #LP 6, LP 10, R 1"
,adnexitis,"G 28, G 29, R 11, 15, RM 3, 4, 6, VU 23, 26, 28, VU 31, 32, 33, 34, LP 6, 7, 9, VF 41, H 1"
,sterilitas,"#G 28, #G 29, LP 16, R 15, RM 3, RM 4, RM 5, RM 6, RM 7, VU 23, VU 26, VU 31, VU 32, VU 33, VU 34, VF 41, #IC 4, #Pc 6, #LP 6, #H 3"
,hypogalactia,"#IT 1, #IT 11, #IC 4, #RM 17"
,agalactia,"G 36, #LP 6, #G 18, C 1"
,mastopathia,"H 3, VF 41, G 18, IT 1, G 36, RM 17"
,vomitus gravidarum,"#Pc 6, #G 36, G 30"
,točke za ubrzavanje porođaja,"IC 4, G 30, G 36, VU 60, LP 6"
,točke protiv jakih boli u porođaju,"LP 6, VU 60, IC 4, H 3, RM 4"
,atonia uteri,"G 30, #VF 34, VF 41, #RM 3, RM 4, #LP 6, TR 6, TR 5"
