Živčani sustav,apoplexia,"DM 26, PE 30, H 3, G 40, DM 20, R 1"
,congestio cerebralis,"VU 62, PC 6, PC 7, P 7, VF 39, G 36, IC 4"
,hemiparesis,"#IC 15, #IC 11, #IC 4, PE 17, TR 5, VF 30, VF 34, VF 39, G 41"
,dysphasia,"RM 23, DM 15, C 5"
,paraplegia,"#PE 21, VU 23, VU 54, VU 50, #VF 34, VF 39, #G 36, G 41, #LP 6, H 3"
,poliomyelitis (posljedice),"#IC 15, IC 11, #TR 5, #IC 10, #G 36, G 41, VF 20, VF 30, #VF 34, #VF 39, VU 32, R 3"
,affectio nerv. perif.,"#G 36, #VU 60, #VF 34, IC 4, DM 19, DM 17, VU 10, VF 20, VF 21, #VF 38, H 5, R 7"
,paresthesiae,
,ext. supp.,PE 28. IT 3
,ext. inf.,"PE 36, R 2"
,contracturae musculorum,"#IT 3, IT 7, TR 5, TR 10, #IC 15, IC 10, P 7, #VF 34, #VU 60, VU 62, VU 57, G 36, RP 9"
,grčevi mišića,"PC 7, #VU 62, VU 60, #VF 34, VF 40, VF 43, #VU 57, #VU 65, R 2, #R 6"
,amyotrophia,
,hypotonia musc.,
,extr. supp.,"#IC 15, IC 11, IC 10, IC 4, IT 3, IT 4, IT 7, IT 10, IT 14, TR 3, TR 5, TR 10, TR 13, TR 14, VF 21, P 7, H 3, LP 4, R 6, Pc 6"
,extr. inf.,"VF 30, #VF 34, G 36, H 3, VU 58, G 42, VU 60, VU 62, PC 6"
,paralysis flaccida,
,extrem. supp.,"#IC 15, IC 10, IC 4, TR 15, #TR 5, #IT 3, H 3, R 3"
,extrem. inf.,"#VF 34, #G 36, VF 30, VF 38, VF 39, VU 60, VU 62, G 40, G 41, H 3, R 3"
,tremor,"#VF 41, #LP 4, #VF 34, IT 3, IC 11, VU 58, VU 62, TR 5, Pc 3, G 36"
,tremor senilis,"C 3, Pc 3, TR 3, DM 4, DM 15, DM 19, DM 13, VU 14, IT 3, R 3, R 6, H 7, H 3"
,affectio med. spin.,"#IT 3, DM 20, DM 16, DM 14, R 7, G 33"
Pedijatrija,convulsio infantilis,"#DM 20, #RM 4, #G 36, VU 18, VU 20, RM 6"
,u vrijeme konvulzivne krize,"DM 26, PE 30, P 11"
,tetania,"IC 4, H 3"
,hypertermia infantilis,"DM 14, IC 11"
,oedema cerebri,"DM 15, R 7"
,meningismus,"VF 20, DM 12"
,pertusis,"PE 17, G 40, VU 13, P 5"
,parotitis epidemica,"TR 17, G 6, IC 4, TR 5"
,poliomyelitis acuta,"#DM 14, #TR 5, #IC 11"
,bol u grlu,"IT 17, P 11"
,glavobolja i povraćanje,"PE 2, Pc 6"
,paraliza ošita,"VU 17, H 14, RM 15"
,paraliza abdominalnih mišića,"VU 20, VU 21, G 21, G 25"
,paraliza gornjih udova,"PE 17, IC 11, IC 4, TR 5, IT 6"
,paraliza donjih udova,"PE 21, (od L 2 - S 2) VF 30, VF 34"
,hiperekstenzija koljena,"VU 40, H 8"
,pes valgus,"R 3, LP 6"
,pes varus,"VF 39, VU 60"
,epilepsia,"#DM 26, IT 3, VU 62, DM 20, RM 12, G 40, VU 15, VU 18, LP 6, #DM 14, #Pc 6, #IC 4, #LP 4"
,epilepsia petit mal,"C 7, VF 9, VF 20"
